hh_type,hh_id
Couple with no children,HHA1_10590
Live alone,HHA1_10591
Couple with dependent children,HHA1_10592
Couple with dependent children,HHA1_10593
Couple with dependent children,HHA1_10594
Couple with dependent children,HHA1_10595
Households containing two or more families,HHA1_10596
Couple with no children,HHA1_10597
Lone parent with dependent children,HHA1_10598
Live alone,HHA1_10599
Couple with no children,HHA1_10600
Couple with dependent children,HHA1_10601
Couple with no children,HHA1_10602
Couple with dependent children,HHA1_10603
Couple with no children,HHA1_10604
Couple with dependent children,HHA1_10605
Couple with dependent children,HHA1_10606
Other,HHA1_10607
Lone parent with dependent children,HHA1_10608
Couple with no children,HHA1_10609
Couple with no children,HHA1_10610
Couple with dependent children,HHA1_10611
Couple with no children,HHA1_10612
Couple with dependent children,HHA1_10613
Live alone,HHA1_10614
Two or more non-family adults,HHA1_10615
Couple with no children,HHA1_10616
Live alone,HHA1_10617
Live alone,HHA1_10618
Couple with no children,HHA1_10619
Live alone,HHA1_10620
Couple with no children,HHA1_10621
Couple with no children,HHA1_10622
Couple with no children,HHA1_10623
Couple with dependent children,HHA1_10624
Couple with dependent children,HHA1_10625
Two or more non-family adults,HHA1_10626
Couple with dependent children,HHA1_10627
Lone parent with independent children only,HHA1_10628
Other,HHA1_10629
Other,HHA1_10630
Couple with dependent children,HHA1_10631
Couple with independent children only,HHA1_10632
Couple with dependent children,HHA1_10633
Two or more non-family adults,HHA1_10634
Couple with no children,HHA1_10635
Couple with dependent children,HHA1_10636
Other,HHA1_10637
Households containing two or more families,HHA1_10638
Lone parent with independent children only,HHA1_10639
Couple with no children,HHA1_10640
Couple with no children,HHA1_10641
Couple with dependent children,HHA1_10642
Live alone,HHA1_10643
Lone parent with independent children only,HHA1_10644
Couple with dependent children,HHA1_10645
Couple with no children,HHA1_10646
Households containing two or more families,HHA1_10647
Two or more non-family adults,HHA1_10648
Two or more non-family adults,HHA1_10649
Couple with dependent children,HHA1_10650
Other,HHA1_10651
Couple with dependent children,HHA1_10652
Two or more non-family adults,HHA1_10653
Couple with independent children only,HHA1_10654
Couple with dependent children,HHA1_10655
Couple with no children,HHA1_10656
Other,HHA1_10657
Lone parent with dependent children,HHA1_10658
Couple with independent children only,HHA1_10659
Couple with independent children only,HHA1_10660
Couple with no children,HHA1_10661
Couple with independent children only,HHA1_10662
Couple with dependent children,HHA1_10663
Live alone,HHA1_10664
Other,HHA1_10665
Households containing two or more families,HHA1_10666
Couple with dependent children,HHA1_10667
Couple with dependent children,HHA1_10668
Live alone,HHA1_10669
Two or more non-family adults,HHA1_10670
Couple with no children,HHA1_10671
Couple with independent children only,HHA1_10672
Couple with independent children only,HHA1_10673
Two or more non-family adults,HHA1_10674
Couple with independent children only,HHA1_10675
Two or more non-family adults,HHA1_10676
Live alone,HHA1_10677
Other,HHA1_10678
Couple with independent children only,HHA1_10679
Couple with no children,HHA1_10680
Two or more non-family adults,HHA1_10681
Lone parent with independent children only,HHA1_10682
Live alone,HHA1_10683
Couple with independent children only,HHA1_10684
Lone parent with independent children only,HHA1_10685
Couple with independent children only,HHA1_10686
Couple with dependent children,HHA1_10687
Couple with independent children only,HHA1_10688
Other,HHA1_10689
Couple with dependent children,HHA1_10690
Couple with independent children only,HHA1_10691
Couple with independent children only,HHA1_10692
Couple with dependent children,HHA1_10693
Couple with dependent children,HHA1_10694
Couple with independent children only,HHA1_10695
Other,HHA1_10696
Couple with dependent children,HHA1_10697
Couple with no children,HHA1_10698
Other,HHA1_10699
Couple with no children,HHA1_10700
Couple with dependent children,HHA1_10701
Couple with no children,HHA1_10702
Couple with independent children only,HHA1_10703
Live alone,HHA1_10705
Couple with no children,HHA1_10706
Lone parent with independent children only,HHA1_10707
Couple with independent children only,HHA1_10708
Other,HHA1_10709
Two or more non-family adults,HHA1_10710
Couple with independent children only,HHA1_10711
Couple with no children,HHA1_10712
Couple with no children,HHA1_10713
Couple with dependent children,HHA1_10714
Two or more non-family adults,HHA1_10715
Live alone,HHA1_10716
Couple with independent children only,HHA1_10717
Other,HHA1_10718
Couple with independent children only,HHA1_10719
Other,HHA1_10720
Couple with dependent children,HHA1_10721
Couple with independent children only,HHA1_10722
Couple with no children,HHA1_10723
Couple with no children,HHA1_10724
Two or more non-family adults,HHA1_10725
Live alone,HHA1_10726
Couple with independent children only,HHA1_10727
Couple with dependent children,HHA1_10728
Couple with independent children only,HHA1_10729
Other,HHA1_10730
Couple with no children,HHA1_10731
Live alone,HHA1_10732
Couple with no children,HHA1_10733
Other,HHA1_10734
Couple with dependent children,HHA1_10735
Live alone,HHA1_10736
Couple with no children,HHA1_10737
Lone parent with independent children only,HHA1_10738
Couple with no children,HHA1_10739
Couple with no children,HHA1_10740
Lone parent with independent children only,HHA1_10741
Couple with dependent children,HHA1_10742
Lone parent with independent children only,HHA1_10743
Lone parent with independent children only,HHA1_10744
Couple with no children,HHA1_10745
Couple with no children,HHA1_10746
Live alone,HHA1_10747
Couple with no children,HHA1_10748
Live alone,HHA1_10749
Lone parent with independent children only,HHA1_10750
Couple with dependent children,HHA1_10751
Couple with independent children only,HHA1_10752
Other,HHA1_10753
Couple with dependent children,HHA1_10754
Couple with dependent children,HHA1_10755
Live alone,HHA1_10756
Couple with no children,HHA1_10757
Couple with independent children only,HHA1_10758
Couple with independent children only,HHA1_10759
Two or more non-family adults,HHA1_10760
Couple with no children,HHA1_10761
Couple with no children,HHA1_10762
Lone parent with independent children only,HHA1_10763
Live alone,HHA1_10764
Couple with no children,HHA1_10765
Couple with no children,HHA1_10766
Lone parent with independent children only,HHA1_10767
Couple with no children,HHA1_10768
Live alone,HHA1_10769
Live alone,HHA1_10770
Other,HHA1_10771
Households containing two or more families,HHA1_10772
Couple with dependent children,HHA1_10773
Couple with independent children only,HHA1_10774
Couple with no children,HHA1_10775
Couple with dependent children,HHA1_10776
Couple with no children,HHA1_10777
Couple with no children,HHA1_10778
Two or more non-family adults,HHA1_10779
Other,HHA1_10780
Couple with independent children only,HHA1_10781
Couple with independent children only,HHA1_10782
Couple with independent children only,HHA1_10783
Couple with no children,HHA1_10784
Other,HHA1_10785
Couple with no children,HHA1_10786
Live alone,HHA1_10787
Lone parent with independent children only,HHA1_10788
Couple with independent children only,HHA1_10789
Couple with no children,HHA1_10790
Couple with dependent children,HHA1_10791
Couple with no children,HHA1_10792
Couple with dependent children,HHA1_10793
Couple with dependent children,HHA1_10794
Couple with dependent children,HHA1_10795
Two or more non-family adults,HHA1_10796
Two or more non-family adults,HHA1_10797
Couple with dependent children,HHA1_10798
Other,HHA1_10799
Live alone,HHA1_10800
Live alone,HHA1_10801
Other,HHA1_10802
Two or more non-family adults,HHA1_10803
Other,HHA1_10804
Couple with independent children only,HHA1_10805
Couple with independent children only,HHA1_10806
Lone parent with independent children only,HHA1_10807
Live alone,HHA1_10808
Live alone,HHA1_10809
Couple with dependent children,HHA1_10810
Couple with no children,HHA1_10811
Couple with no children,HHA1_10812
Couple with no children,HHA1_10813
Couple with no children,HHA1_10814
Two or more non-family adults,HHA1_10815
Two or more non-family adults,HHA1_10816
Couple with no children,HHA1_10817
Two or more non-family adults,HHA1_10818
Two or more non-family adults,HHA1_10819
Other,HHA1_10820
Couple with dependent children,HHA1_10821
Couple with dependent children,HHA1_10822
Couple with no children,HHA1_10823
Couple with no children,HHA1_10824
Couple with no children,HHA1_10825
Couple with independent children only,HHA1_10826
Couple with dependent children,HHA1_10827
Couple with independent children only,HHA1_10828
Couple with no children,HHA1_10829
Two or more non-family adults,HHA1_10830
Couple with independent children only,HHA1_10831
Lone parent with dependent children,HHA1_10832
Couple with independent children only,HHA1_10833
Couple with dependent children,HHA1_10834
Lone parent with independent children only,HHA1_10835
Other,HHA1_10836
Couple with no children,HHA1_10837
Other,HHA1_10838
Couple with independent children only,HHA1_10839
Couple with no children,HHA1_10840
Couple with dependent children,HHA1_10841
Live alone,HHA1_10842
Couple with dependent children,HHA1_10843
Two or more non-family adults,HHA1_10844
Two or more non-family adults,HHA1_10845
Couple with independent children only,HHA1_10846
Couple with no children,HHA1_10847
Live alone,HHA1_10848
Couple with no children,HHA1_10849
Couple with no children,HHA1_10850
Other,HHA1_10851
Couple with no children,HHA1_10852
Couple with dependent children,HHA1_10853
Live alone,HHA1_10854
Couple with independent children only,HHA1_10855
Couple with independent children only,HHA1_10856
Couple with independent children only,HHA1_10857
Couple with dependent children,HHA1_10858
Couple with dependent children,HHA1_10859
Other,HHA1_10860
Couple with no children,HHA1_10861
Other,HHA1_10862
Couple with no children,HHA1_10863
Live alone,HHA1_10864
Couple with dependent children,HHA1_10865
Couple with independent children only,HHA1_10866
Couple with dependent children,HHA1_10867
Lone parent with independent children only,HHA1_10868
Couple with dependent children,HHA1_10869
Live alone,HHA1_10870
Other,HHA1_10871
Couple with no children,HHA1_10872
Lone parent with dependent children,HHA1_10873
Live alone,HHA1_10874
Couple with no children,HHA1_10875
Couple with dependent children,HHA1_10876
Couple with dependent children,HHA1_10877
Couple with dependent children,HHA1_10878
Other,HHA1_10879
Couple with independent children only,HHA1_10880
Live alone,HHA1_10881
Live alone,HHA1_10882
Couple with dependent children,HHA1_10883
Couple with dependent children,HHA1_10884
Couple with no children,HHA1_10885
Couple with dependent children,HHA1_10886
Couple with no children,HHA1_10887
Couple with no children,HHA1_10888
Live alone,HHA1_10889
Couple with independent children only,HHA1_10890
Couple with independent children only,HHA1_10891
Couple with independent children only,HHA1_10892
Two or more non-family adults,HHA1_10893
Couple with dependent children,HHA1_10894
Lone parent with independent children only,HHA1_10895
Couple with dependent children,HHA1_10896
Couple with dependent children,HHA1_10897
Couple with independent children only,HHA1_10898
Couple with no children,HHA1_10899
Other,HHA1_10900
Couple with dependent children,HHA1_10901
Live alone,HHA1_10902
Couple with independent children only,HHA1_10903
Other,HHA1_10904
Couple with dependent children,HHA1_10905
Two or more non-family adults,HHA1_10906
Live alone,HHA1_10907
Two or more non-family adults,HHA1_10908
Couple with independent children only,HHA1_10909
Couple with dependent children,HHA1_10910
Lone parent with dependent children,HHA1_10911
Couple with dependent children,HHA1_10912
Couple with no children,HHA1_10913
Couple with dependent children,HHA1_10914
Couple with no children,HHA1_10915
Two or more non-family adults,HHA1_10916
Couple with dependent children,HHA1_10917
Couple with independent children only,HHA1_10918
Live alone,HHA1_10919
Couple with no children,HHA1_10920
Two or more non-family adults,HHA1_10922
Couple with dependent children,HHA1_10923
Couple with dependent children,HHA1_10924
Couple with no children,HHA1_10925
Couple with no children,HHA1_10926
Couple with dependent children,HHA1_10927
Couple with dependent children,HHA1_10928
Couple with independent children only,HHA1_10929
Couple with dependent children,HHA1_10930
Couple with independent children only,HHA1_10931
Couple with independent children only,HHA1_10932
Live alone,HHA1_10933
Couple with dependent children,HHA1_10934
Couple with no children,HHA1_10935
Couple with independent children only,HHA1_10936
Live alone,HHA1_10937
Lone parent with independent children only,HHA1_10938
Couple with no children,HHA1_10939
Couple with dependent children,HHA1_10940
Live alone,HHA1_10941
Lone parent with independent children only,HHA1_10942
Other,HHA1_10943
Couple with no children,HHA1_10944
Couple with dependent children,HHA1_10945
Two or more non-family adults,HHA1_10946
Households containing two or more families,HHA1_10947
Couple with no children,HHA1_10948
Live alone,HHA1_10949
Couple with dependent children,HHA1_10950
Two or more non-family adults,HHA1_10951
Lone parent with dependent children,HHA1_10952
Couple with no children,HHA1_10953
Couple with dependent children,HHA1_10954
Two or more non-family adults,HHA1_10955
Lone parent with independent children only,HHA1_10956
Couple with dependent children,HHA1_10957
Other,HHA1_10958
Couple with no children,HHA1_10959
Couple with independent children only,HHA1_10960
Couple with no children,HHA1_10961
Live alone,HHA1_10962
Lone parent with dependent children,HHA1_10963
Two or more non-family adults,HHA1_10964
Couple with independent children only,HHA1_10965
Couple with no children,HHA1_10966
Couple with dependent children,HHA1_10967
Other,HHA1_10968
Lone parent with dependent children,HHA1_10969
Couple with dependent children,HHA1_10970
Couple with dependent children,HHA1_10971
Couple with dependent children,HHA1_10972
Two or more non-family adults,HHA1_10973
Households containing two or more families,HHA1_10974
Couple with dependent children,HHA1_10975
Couple with no children,HHA1_10976
Couple with dependent children,HHA1_10977
Other,HHA1_10978
Couple with independent children only,HHA1_10979
Other,HHA1_10980
Couple with no children,HHA1_10981
Lone parent with independent children only,HHA1_10982
Other,HHA1_10983
Other,HHA1_10984
Couple with dependent children,HHA1_10985
Couple with dependent children,HHA1_10986
Couple with no children,HHA1_10987
Two or more non-family adults,HHA1_10988
Live alone,HHA1_10989
Couple with dependent children,HHA1_10990
Couple with dependent children,HHA1_10991
Couple with dependent children,HHA1_10992
Couple with no children,HHA1_10993
Other,HHA1_10994
Couple with no children,HHA1_10995
Couple with dependent children,HHA1_10996
Live alone,HHA1_10997
Lone parent with dependent children,HHA1_10998
Couple with no children,HHA1_10999
Couple with independent children only,HHA1_11000
Other,HHA1_11001
Lone parent with dependent children,HHA1_11002
Couple with dependent children,HHA1_11003
Live alone,HHA1_11004
Couple with independent children only,HHA1_11005
Couple with dependent children,HHA1_11006
Couple with dependent children,HHA1_11007
Other,HHA1_11008
Couple with no children,HHA1_11009
Couple with no children,HHA1_11010
Couple with no children,HHA1_11011
Couple with independent children only,HHA1_11012
Couple with no children,HHA1_11013
Couple with dependent children,HHA1_11014
Couple with dependent children,HHA1_11015
Couple with no children,HHA1_11016
Couple with no children,HHA1_11017
Live alone,HHA1_11018
Couple with no children,HHA1_11019
Couple with dependent children,HHA1_11020
Couple with dependent children,HHA1_11021
Lone parent with independent children only,HHA1_11022
Live alone,HHA1_11023
Couple with no children,HHA1_11024
Two or more non-family adults,HHA1_11025
Couple with dependent children,HHA1_11026
Couple with independent children only,HHA1_11027
Couple with no children,HHA1_11028
Couple with dependent children,HHA1_11029
Couple with dependent children,HHA1_11030
Couple with independent children only,HHA1_11031
Two or more non-family adults,HHA1_11032
Couple with dependent children,HHA1_11033
Couple with independent children only,HHA1_11034
Lone parent with independent children only,HHA1_11035
Other,HHA1_11036
Other,HHA1_11037
Live alone,HHA1_11038
Other,HHA1_11039
Lone parent with independent children only,HHA1_11040
Live alone,HHA1_11041
Two or more non-family adults,HHA1_11042
Couple with no children,HHA1_11043
Couple with no children,HHA1_11044
Two or more non-family adults,HHA1_11045
Households containing two or more families,HHA1_11046
Couple with dependent children,HHA1_11047
Couple with no children,HHA1_11048
Couple with no children,HHA1_11049
Couple with dependent children,HHA1_11050
Live alone,HHA1_11051
Couple with dependent children,HHA1_11052
Live alone,HHA1_11053
Live alone,HHA1_11054
Couple with dependent children,HHA1_11055
Couple with dependent children,HHA1_11056
Two or more non-family adults,HHA1_11057
Lone parent with independent children only,HHA1_11058
Couple with no children,HHA1_11059
Couple with no children,HHA1_11060
Live alone,HHA1_11061
Couple with no children,HHA1_11062
Couple with no children,HHA1_11063
Couple with no children,HHA1_11064
Couple with no children,HHA1_11065
Couple with dependent children,HHA1_11066
Households containing two or more families,HHA1_11067
Other,HHA1_11068
Couple with dependent children,HHA1_11069
Couple with no children,HHA1_11070
Couple with dependent children,HHA1_11071
Other,HHA1_11072
Live alone,HHA1_11073
Two or more non-family adults,HHA1_11074
Couple with no children,HHA1_11075
Couple with dependent children,HHA1_11076
Couple with independent children only,HHA1_11077
Lone parent with dependent children,HHA1_11078
Couple with no children,HHA1_11079
Two or more non-family adults,HHA1_11080
Couple with no children,HHA1_11081
Lone parent with independent children only,HHA1_11082
Couple with dependent children,HHA1_11083
Two or more non-family adults,HHA1_11084
Other,HHA1_11085
Couple with no children,HHA1_11086
Lone parent with independent children only,HHA1_11087
Couple with dependent children,HHA1_11088
Couple with independent children only,HHA1_11089
Couple with dependent children,HHA1_11090
Couple with independent children only,HHA1_11091
Couple with dependent children,HHA1_11092
Couple with dependent children,HHA1_11093
Couple with no children,HHA1_11094
Couple with dependent children,HHA1_11095
Live alone,HHA1_11096
Couple with independent children only,HHA1_11097
Couple with independent children only,HHA1_11098
Live alone,HHA1_11099
Couple with dependent children,HHA1_11100
Other,HHA1_11101
Two or more non-family adults,HHA1_11102
Live alone,HHA1_11103
Other,HHA1_11104
Couple with dependent children,HHA1_11105
Couple with no children,HHA1_11106
Live alone,HHA1_11107
Couple with no children,HHA1_11108
Couple with dependent children,HHA1_11109
Live alone,HHA1_11110
Lone parent with independent children only,HHA1_11111
Other,HHA1_11112
Other,HHA1_11113
Couple with independent children only,HHA1_11114
Live alone,HHA1_11115
Other,HHA1_11116
Couple with dependent children,HHA1_11117
Lone parent with dependent children,HHA1_11118
Couple with independent children only,HHA1_11119
Lone parent with dependent children,HHA1_11120
Couple with dependent children,HHA1_11121
Couple with independent children only,HHA1_11122
Couple with dependent children,HHA1_11123
Couple with no children,HHA1_11124
Live alone,HHA1_11125
Couple with no children,HHA1_11126
Two or more non-family adults,HHA1_11127
Couple with dependent children,HHA1_11128
Two or more non-family adults,HHA1_11129
Couple with independent children only,HHA1_11130
Couple with no children,HHA1_11131
Live alone,HHA1_11132
Two or more non-family adults,HHA1_11133
Live alone,HHA1_11134
Two or more non-family adults,HHA1_11135
Other,HHA1_11136
Couple with independent children only,HHA1_11137
Couple with no children,HHA1_11138
Other,HHA1_11139
Live alone,HHA1_11140
Couple with dependent children,HHA1_11141
Two or more non-family adults,HHA1_11142
Two or more non-family adults,HHA1_11143
Two or more non-family adults,HHA1_11144
Couple with independent children only,HHA1_11145
Two or more non-family adults,HHA1_11146
Couple with no children,HHA1_11147
Other,HHA1_11148
Couple with dependent children,HHA1_11149
Lone parent with dependent children,HHA1_11150
Couple with no children,HHA1_11151
Couple with no children,HHA1_11152
Couple with dependent children,HHA1_11153
Couple with no children,HHA1_11154
Couple with no children,HHA1_11155
Couple with dependent children,HHA1_11156
Live alone,HHA1_11157
Couple with dependent children,HHA1_11158
Couple with dependent children,HHA1_11159
Couple with dependent children,HHA1_11160
Couple with no children,HHA1_11161
Couple with dependent children,HHA1_11162
Couple with dependent children,HHA1_11163
Other,HHA1_11164
Couple with no children,HHA1_11165
Couple with no children,HHA1_11166
Couple with no children,HHA1_11167
Live alone,HHA1_11168
Households containing two or more families,HHA1_11169
Lone parent with dependent children,HHA1_11170
Couple with independent children only,HHA1_11171
Couple with no children,HHA1_11172
Couple with independent children only,HHA1_11173
Two or more non-family adults,HHA1_11174
Couple with dependent children,HHA1_11175
Other,HHA1_11176
Couple with dependent children,HHA1_11177
Live alone,HHA1_11178
Other,HHA1_11179
Couple with no children,HHA1_11180
Two or more non-family adults,HHA1_11181
Couple with dependent children,HHA1_11182
Couple with no children,HHA1_11183
Couple with independent children only,HHA1_11184
Live alone,HHA1_11185
Couple with independent children only,HHA1_11186
Live alone,HHA1_11187
Couple with no children,HHA1_11188
Live alone,HHA1_11189
Couple with dependent children,HHA1_11190
Couple with independent children only,HHA1_11191
Lone parent with dependent children,HHA1_11192
Couple with dependent children,HHA1_11193
Live alone,HHA1_11194
Couple with dependent children,HHA1_11195
Lone parent with independent children only,HHA1_11196
Lone parent with independent children only,HHA1_11197
Couple with dependent children,HHA1_11198
Couple with dependent children,HHA1_11199
Live alone,HHA1_11200
Couple with dependent children,HHA1_11201
Other,HHA1_11202
Live alone,HHA1_11203
Two or more non-family adults,HHA1_11204
Couple with dependent children,HHA1_11205
Live alone,HHA1_11206
Live alone,HHA1_11207
Two or more non-family adults,HHA1_11208
Couple with independent children only,HHA1_11209
Lone parent with dependent children,HHA1_11210
Two or more non-family adults,HHA1_11211
Couple with dependent children,HHA1_11212
Couple with independent children only,HHA1_11213
Couple with no children,HHA1_11214
Couple with dependent children,HHA1_11215
Couple with no children,HHA1_11216
Couple with independent children only,HHA1_11217
Live alone,HHA1_11218
Couple with no children,HHA1_11219
Live alone,HHA1_11220
Live alone,HHA1_11221
Couple with no children,HHA1_11222
Couple with no children,HHA1_11223
Couple with independent children only,HHA1_11224
Couple with no children,HHA1_11225
Couple with independent children only,HHA1_11226
Live alone,HHA1_11227
Couple with independent children only,HHA1_11228
Couple with dependent children,HHA1_11229
Couple with dependent children,HHA1_11230
Live alone,HHA1_11231
Couple with independent children only,HHA1_11232
Couple with independent children only,HHA1_11233
Live alone,HHA1_11234
Other,HHA1_11235
Couple with dependent children,HHA1_11236
Couple with no children,HHA1_11237
Live alone,HHA1_11238
Couple with dependent children,HHA1_11239
Couple with independent children only,HHA1_11240
Other,HHA1_11241
Live alone,HHA1_11242
Couple with no children,HHA1_11243
Couple with no children,HHA1_11244
Live alone,HHA1_11245
Couple with no children,HHA1_11246
Couple with no children,HHA1_11247
Couple with independent children only,HHA1_11248
Couple with no children,HHA1_11249
Other,HHA1_11250
Couple with dependent children,HHA1_11251
Couple with independent children only,HHA1_11252
Couple with independent children only,HHA1_11253
Live alone,HHA1_11254
Couple with dependent children,HHA1_11255
Couple with independent children only,HHA1_11256
Couple with no children,HHA1_11257
Other,HHA1_11258
Live alone,HHA1_11259
Couple with no children,HHA1_11260
Couple with no children,HHA1_11261
Lone parent with dependent children,HHA1_11262
Live alone,HHA1_11263
Couple with no children,HHA1_11264
Live alone,HHA1_11265
Couple with dependent children,HHA1_11266
Live alone,HHA1_11267
Couple with no children,HHA1_11268
Couple with dependent children,HHA1_11269
Couple with independent children only,HHA1_11270
Lone parent with independent children only,HHA1_11271
Live alone,HHA1_11272
Couple with independent children only,HHA1_11273
Couple with independent children only,HHA1_11274
Other,HHA1_11275
Other,HHA1_11276
Couple with independent children only,HHA1_11277
Couple with no children,HHA1_11278
Couple with independent children only,HHA1_11279
Couple with independent children only,HHA1_11280
Live alone,HHA1_11281
Live alone,HHA1_11282
Live alone,HHA1_11283
Couple with independent children only,HHA1_11284
Couple with no children,HHA1_11285
Live alone,HHA1_11286
Live alone,HHA1_11287
Couple with independent children only,HHA1_11288
Couple with independent children only,HHA1_11289
Couple with no children,HHA1_11290
Live alone,HHA1_11291
Couple with independent children only,HHA1_11292
Couple with no children,HHA1_11293
Couple with no children,HHA1_11294
Couple with no children,HHA1_11295
Live alone,HHA1_11296
Couple with dependent children,HHA1_11298
Live alone,HHA1_11299
Lone parent with independent children only,HHA1_11300
Couple with no children,HHA1_11301
Lone parent with dependent children,HHA1_11302
Lone parent with independent children only,HHA1_11303
Live alone,HHA1_11304
Couple with dependent children,HHA1_11305
Live alone,HHA1_11306
Two or more non-family adults,HHA1_11307
Couple with independent children only,HHA1_11308
Couple with independent children only,HHA1_11309
Couple with independent children only,HHA1_11310
Couple with independent children only,HHA1_11311
Couple with dependent children,HHA1_11312
Couple with no children,HHA1_11313
Couple with no children,HHA1_11314
Couple with no children,HHA1_11315
Couple with no children,HHA1_11316
Couple with independent children only,HHA1_11317
Couple with no children,HHA1_11318
Couple with no children,HHA1_11319
Live alone,HHA1_11320
Couple with independent children only,HHA1_11321
Couple with independent children only,HHA1_11322
Couple with independent children only,HHA1_11323
Couple with independent children only,HHA1_11324
Live alone,HHA1_11325
Couple with no children,HHA1_11326
Couple with no children,HHA1_11327
Couple with independent children only,HHA1_11328
Couple with independent children only,HHA1_11329
Couple with no children,HHA1_11330
Live alone,HHA1_11332
Couple with independent children only,HHA1_11333
Other,HHA1_11334
Couple with independent children only,HHA1_11335
Other,HHA1_11336
Couple with dependent children,HHA1_11337
Couple with no children,HHA1_11338
Live alone,HHA1_11339
Live alone,HHA1_11340
Couple with no children,HHA1_11341
Two or more non-family adults,HHA1_11342
Couple with no children,HHA1_11343
Couple with no children,HHA1_11344
Couple with dependent children,HHA1_11345
Couple with independent children only,HHA1_11346
Couple with no children,HHA1_11347
Two or more non-family adults,HHA1_11348
Live alone,HHA1_11349
Couple with no children,HHA1_11350
Couple with no children,HHA1_11351
Couple with independent children only,HHA1_11352
Other,HHA1_11353
Couple with dependent children,HHA1_11354
Other,HHA1_11355
Other,HHA1_11356
Couple with independent children only,HHA1_11357
Two or more non-family adults,HHA1_11358
Live alone,HHA1_11359
Lone parent with independent children only,HHA1_11360
Other,HHA1_11361
Couple with no children,HHA1_11362
Couple with no children,HHA1_11363
Couple with independent children only,HHA1_11364
Couple with independent children only,HHA1_11365
Couple with independent children only,HHA1_11366
Couple with dependent children,HHA1_11367
Couple with independent children only,HHA1_11368
Couple with no children,HHA1_11369
Couple with no children,HHA1_11370
Couple with dependent children,HHA1_11371
Couple with no children,HHA1_11372
Other,HHA1_11373
Couple with no children,HHA1_11374
Couple with no children,HHA1_11375
Couple with independent children only,HHA1_11376
Live alone,HHA1_11377
Couple with dependent children,HHA1_11378
Couple with no children,HHA1_11379
Couple with dependent children,HHA1_11380
Couple with independent children only,HHA1_11381
Lone parent with dependent children,HHA1_11382
Other,HHA1_11383
Couple with no children,HHA1_11384
Couple with no children,HHA1_11385
Couple with independent children only,HHA1_11386
Couple with independent children only,HHA1_11387
Couple with dependent children,HHA1_11388
Couple with no children,HHA1_11389
Couple with no children,HHA1_11390
Couple with no children,HHA1_11391
Couple with dependent children,HHA1_11392
Couple with independent children only,HHA1_11393
Couple with dependent children,HHA1_11394
Live alone,HHA1_11395
Live alone,HHA1_11396
Couple with no children,HHA1_11397
Couple with independent children only,HHA1_11398
Live alone,HHA1_11399
Other,HHA1_11400
Couple with dependent children,HHA1_11401
Two or more non-family adults,HHA1_11402
Couple with dependent children,HHA1_11403
Couple with no children,HHA1_11404
Couple with no children,HHA1_11405
Couple with no children,HHA1_11406
Couple with no children,HHA1_11407
Other,HHA1_11408
Couple with independent children only,HHA1_11409
Live alone,HHA1_11410
Live alone,HHA1_11411
Couple with independent children only,HHA1_11412
Couple with no children,HHA1_11413
Couple with dependent children,HHA1_11414
Couple with no children,HHA1_11415
Couple with no children,HHA1_11416
Couple with independent children only,HHA1_11417
Other,HHA1_11418
Lone parent with independent children only,HHA1_11419
Couple with no children,HHA1_11420
Lone parent with independent children only,HHA1_11421
Live alone,HHA1_11422
Couple with independent children only,HHA1_11423
Couple with no children,HHA1_11424
Two or more non-family adults,HHA1_11425
Live alone,HHA1_11426
Couple with no children,HHA1_11427
Two or more non-family adults,HHA1_11428
Live alone,HHA1_11429
Two or more non-family adults,HHA1_11430
Couple with dependent children,HHA1_11431
Couple with independent children only,HHA1_11432
Couple with dependent children,HHA1_11433
Live alone,HHA1_11434
Live alone,HHA1_11435
Live alone,HHA1_11436
Couple with no children,HHA1_11437
Couple with no children,HHA1_11438
Couple with independent children only,HHA1_11439
Couple with independent children only,HHA1_11440
Couple with no children,HHA1_11441
Couple with independent children only,HHA1_11442
Couple with no children,HHA1_11443
Live alone,HHA1_11444
Couple with no children,HHA1_11445
Couple with no children,HHA1_11446
Couple with dependent children,HHA1_11447
Households containing two or more families,HHA1_11448
Two or more non-family adults,HHA1_11449
Couple with no children,HHA1_11450
Couple with independent children only,HHA1_11451
Live alone,HHA1_11452
Live alone,HHA1_11453
Couple with no children,HHA1_11454
Couple with no children,HHA1_11455
Other,HHA1_11456
Couple with dependent children,HHA1_11457
Couple with independent children only,HHA1_11458
Couple with independent children only,HHA1_11459
Live alone,HHA1_11460
Couple with independent children only,HHA1_11461
Live alone,HHA1_11462
Couple with independent children only,HHA1_11463
Live alone,HHA1_11464
Live alone,HHA1_11465
Couple with independent children only,HHA1_11466
Couple with independent children only,HHA1_11467
Live alone,HHA1_11468
Couple with no children,HHA1_11469
Couple with independent children only,HHA1_11470
Couple with no children,HHA1_11471
Couple with no children,HHA1_11472
Couple with independent children only,HHA1_11473
Couple with no children,HHA1_11474
Couple with no children,HHA1_11475
Couple with independent children only,HHA1_11476
Other,HHA1_11477
Couple with independent children only,HHA1_11478
Couple with no children,HHA1_11479
Live alone,HHA1_11480
Couple with no children,HHA1_11481
Other,HHA1_11482
Other,HHA1_11483
Couple with independent children only,HHA1_11484
Other,HHA1_11485
Couple with independent children only,HHA1_11486
Couple with no children,HHA1_11487
Live alone,HHA1_11488
Couple with no children,HHA1_11489
Live alone,HHA1_11490
Other,HHA1_11491
